Category,Denoms
Macroeconomics,85695
,1
Social Welfare,148464
Public Lands,122438
Housing,54065
Labor,84001
Environment,61475
Health,143582
Domestic Commerce,112620
Foreign Trade,56692
Transportation,88982
Immigration,30807
Law and Crime,103024
Civil Rights,49199
International Affairs,42094
Government Operations,189429
Agriculture,83087
Energy,99346
Culture,19989
Defense,128772
Education,65370
Technology,46570
